const,nconst,actor,gender,ordering
tt0009026,nm0256229,Kathleen Emerson,1.0,3
tt0009026,nm0902698,Harry von Meter,2.0,4
tt0009026,nm0567224,Philo McCullough,2.0,5
tt0009026,nm0416468,Elizabeth Janes,1.0,6
tt0009026,nm0560442,Martha Mattox,,7
tt0009062,nm0509573,Harry Liedtke,2.0,1
tt0009062,nm0417837,Emil Jannings,2.0,2
tt0009062,nm0081510,Paul Biensfeldt,2.0,3
tt0009062,nm0778218,Erich Schönfelder,2.0,4
tt0009062,nm0234118,Käthe Dorsch,1.0,5
tt0009062,nm0223038,Kitty Dewall,0.0,6
tt0009062,nm0631025,Agda Nilsson,0.0,7
tt0009062,nm0523932,Ernst Lubitsch,2.0,8
tt0009475,nm0848226,Constance Talmadge,,1
tt0009475,nm0001230,Harrison Ford,2.0,2
tt0009475,nm0370351,Wanda Hawley,1.0,3
tt0009475,nm0233640,Vera Doria,1.0,4
tt0009475,nm0139331,Florence Carpenter,0.0,5
tt0009475,nm0675551,Thomas Persse,0.0,6
tt0009475,nm0932588,Louis Willoughby,0.0,7
tt0009475,nm0368128,Helen Haskell,0.0,8
tt0009475,nm0824885,Larry Steers,2.0,9
tt0009475,nm0330217,Robert Gordon,2.0,10
tt0009546,nm0321653,Solveig Gladvedt,0.0,1
tt0009546,nm0390006,Waldemar Holberg,0.0,2
tt0009546,nm9959928,Johan Price,,3
tt0009546,nm9959929,Fred Boston,0.0,4
tt0009546,nm9959930,Thomas Boston,0.0,5
tt0010219,nm0717468,Wallace Reid,2.0,1
tt0010219,nm0497759,Lila Lee,1.0,2
tt0010219,nm0001230,Harrison Ford,2.0,3
tt0010219,nm0551222,Tully Marshall,2.0,4
tt0010219,nm0644728,Charles Ogle,2.0,5
tt0010219,nm0646851,Guy Oliver,2.0,6
tt0010219,nm0828381,Edwin Stevens,2.0,7
tt0010219,nm0123548,Clarence Burton,2.0,8
tt0010219,nm0731623,Theodore Roberts,2.0,9
tt0010219,nm0719541,Ruth Renick,1.0,10
tt0010281,nm0652661,Ossi Oswalda,1.0,1
tt0010281,nm0324506,Curt Goetz,2.0,2
