const,nconst,actor,gender,ordering
tt0089029,nm0398959,Hui-Huang Lin,,7
tt0089029,nm1292774,Hsin-Nan Hung,,8
tt0089029,nm0948189,Man-Kei Yiu,,9
tt0089029,nm0948189,Man-Kei Yiu,,10
tt0089029,nm1862666,Jimmy Au,,11
tt0089218,nm0000276,Sean Astin,2.0,1
tt0089218,nm0000982,Josh Brolin,2.0,2
tt0089218,nm0169480,Jeff Cohen,2.0,3
tt0089218,nm0000397,Corey Feldman,2.0,4
tt0089218,nm0338061,Kerri Green,1.0,5
tt0089218,nm0000588,Martha Plimpton,1.0,6
tt0089218,nm0702841,Ke Huy Quan,2.0,7
tt0089218,nm0560596,John Matuszak,2.0,8
tt0089218,nm0001108,Robert Davi,2.0,9
tt0089218,nm0001592,Joe Pantoliano,2.0,10
tt0089457,nm0000111,Matthew Broderick,2.0,1
tt0089457,nm0000442,Rutger Hauer,2.0,2
tt0089457,nm0000201,Michelle Pfeiffer,1.0,3
tt0089457,nm0571674,Leo McKern,2.0,4
tt0089457,nm0939795,John Wood,2.0,5
tt0089457,nm0404455,Ken Hutchison,2.0,6
tt0089457,nm0000547,Alfred Molina,2.0,7
tt0089457,nm0307752,Giancarlo Prete,2.0,8
tt0089457,nm0230130,Loris Loddi,2.0,9
tt0089457,nm0785360,Alex Serra,,10
tt0089461,nm0846818,Taimak,2.0,1
tt0089461,nm0889152,Vanity,1.0,2
tt0089461,nm0613997,Christopher Murney,2.0,3
tt0089461,nm0141114,Julius Carry,2.0,4
tt0089461,nm0141114,Julius Carry,2.0,5
tt0089461,nm0697650,Faith Prince,1.0,6
tt0089461,nm0639671,Leo O'Brien,2.0,7
tt0089461,nm0823563,Mike Starr,2.0,8
tt0089461,nm0600490,Jim Moody,2.0,9
tt0089461,nm0247822,Glen Eaton,2.0,10
tt0089461,nm0721205,Ernie Reyes Jr.,2.0,11
tt0089730,nm0001381,Lauren Hutton,1.0,1
tt0089730,nm0000120,Jim Carrey,2.0,2
tt0089730,nm0465789,Karen Kopins,1.0,3
tt0089730,nm0001476,Cleavon Little,2.0,4
tt0089730,nm0050710,Thomas Ballatore,0.0,5
tt0089730,nm0480127,Skip Lackey,2.0,6
tt0089730,nm0011052,Jeb Stuart Adams,2.0,7
tt0089730,nm0116783,Joseph Brutsman,2.0,8
tt0089730,nm0153385,Stuart Charno,2.0,9
tt0089730,nm0458956,Robin Klein,0.0,10
tt0089755,nm0000658,Meryl Streep,1.0,1
tt0089755,nm0000602,Robert Redford,2.0,2
tt0089755,nm0001970,Klaus Maria Brandauer,2.0,3
tt0089755,nm0457655,Michael Kitchen,2.0,4
tt0089755,nm0100942,Malick Bowens,2.0,5
tt0089755,nm0857730,Joseph Thiaka,2.0,6
tt0089755,nm0455945,Stephen Kinyanjui,2.0,7
tt0089755,nm0001284,Michael Gough,2.0,8
tt0089755,nm0358180,Suzanna Hamilton,1.0,9
tt0089755,nm0447499,Rachel Kempson,1.0,10
tt0089853,nm0001201,Mia Farrow,1.0,1
tt0089853,nm0001099,Jeff Daniels,2.0,2
tt0089853,nm0001099,Jeff Daniels,2.0,3
tt0089853,nm0000732,Danny Aiello,2.0,4
tt0089853,nm0582778,Irving Metzman,2.0,5
tt0089853,nm0268530,Stephanie Farrow,1.0,6
tt0089853,nm0452635,David Kieserman,2.0,7
tt0089853,nm0343017,Elaine Grollman,1.0,8
tt0089853,nm0958843,Victoria Zussin,1.0,9
tt0089853,nm0358739,Mark Hammond,,10
tt0089853,nm0055811,Wade Barnes,,11
tt0089880,nm0000230,Sylvester Stallone,2.0,1
tt0089880,nm0001077,Richard Crenna,2.0,2
tt0089880,nm0621008,Charles Napier,2.0,3
tt0089880,nm0000925,Steven Berkoff,2.0,4
tt0089880,nm0630100,Julia Nickson,1.0,5
tt0089880,nm0184392,Martin Kove,2.0,6
tt0089880,nm0156475,George Cheung,2.0,7
tt0089880,nm0939542,Andy Wood,2.0,8
tt0089880,nm0315616,William Ghent,0.0,9
tt0089880,nm0330937,Vojislav Govedarica,2.0,10
tt0089893,nm0000216,Arnold Schwarzenegger,2.0,1
tt0089893,nm0000557,Brigitte Nielsen,1.0,2
tt0089893,nm0000922,Sandahl Bergman,1.0,3
tt0089893,nm0809544,Paul L. Smith,2.0,4
tt0089893,nm0721205,Ernie Reyes Jr.,2.0,5
tt0089893,nm0479951,Ronald Lacey,2.0,6
tt0089893,nm0730053,Pat Roach,2.0,7
tt0089893,nm0724358,Terry Richards,2.0,8
tt0089893,nm0013302,Janet Agren,,9
tt0089893,nm0652338,Donna Osterbuhr,1.0,10
tt0089981,nm0001367,C. Thomas Howell,2.0,1
tt0089981,nm0521753,Lori Loughlin,1.0,2
tt0089981,nm0000593,Kelly Preston,1.0,3
tt0089981,nm0908914,Dee Wallace,1.0,4
tt0089981,nm0002037,Cliff De Young,,5
tt0089981,nm0853375,Leigh Taylor-Young,1.0,6
tt0089981,nm0911542,Fred Ward,2.0,7
tt0089981,nm0797150,Casey Siemaszko,2.0,8
tt0089981,nm0086553,Geoffrey Blake,2.0,9
tt0089981,nm0669373,Rodney Pearson,2.0,10
tt0090057,nm0911532,Felix Ward,0.0,1
tt0090057,nm0669599,Maria Pechukas,0.0,2
tt0090057,nm0779000,Dan Scott,0.0,3
tt0090057,nm0626008,Alec Nemser,0.0,4
tt0090057,nm0523161,A.J. Lowenthal,0.0,5
tt0090057,nm0523161,A.J. Lowenthal,0.0,6
tt0090057,nm0116993,Pat Wesley Bryan,0.0,7
tt0090057,nm0197385,Peter Dain,0.0,8
tt0090057,nm0320277,Nick Gionta,0.0,9
tt0090057,nm0295011,Lisa Friede,0.0,10
tt0090057,nm0216302,Joan Ellen Delaney,0.0,11
tt0090094,nm0605363,Michael Moriarty,2.0,1
tt0090094,nm0546004,Andrea Marcovicci,1.0,2
tt0090094,nm0606541,Garrett Morris,2.0,3
tt0090094,nm0000649,Paul Sorvino,2.0,4
tt0090094,nm0089231,Scott Bloom,2.0,5
tt0090094,nm0000732,Danny Aiello,2.0,6
tt0090094,nm0641929,Patrick O'Neal,2.0,7
tt0090094,nm0228857,James Dixon,2.0,8
tt0090094,nm0780038,Alexander Scourby,2.0,9
tt0090094,nm0638812,Russell Nype,2.0,10
tt0090142,nm0000150,Michael J. Fox,2.0,1
tt0090142,nm0358996,James Hampton,2.0,2
tt0090142,nm0882151,Susan Ursitti,1.0,3
tt0090142,nm0505842,Jerry Levine,2.0,4
tt0090142,nm0012208,Matt Adler,2.0,5
tt0090142,nm0341285,Lorie Griffin,1.0,6
tt0090142,nm0572100,James MacKrell,,7
tt0090142,nm0036553,Mark Arnold,2.0,8
tt0090142,nm0850695,Jay Tarses,2.0,9
tt0090142,nm0392625,Mark Holton,2.0,10
tt0090190,nm0544820,Andree Maranda,0.0,1
tt0090190,nm0169631,Mitch Cohen,2.0,2
tt0090190,nm0045059,Jennifer Babtist,,3
tt0090190,nm0542430,Cindy Manion,1.0,4
tt0090190,nm0697214,Robert Prichard,2.0,5
tt0090190,nm0773818,Gary Schneider,2.0,6
tt0090190,nm0752763,Pat Ryan,2.0,7
tt0090190,nm0868004,Mark Torgl,2.0,8
tt0090190,nm0554145,Dick Martinsen,0.0,9
tt0090190,nm0508674,Chris Liano,0.0,10
tt0090305,nm0001309,Anthony Michael Hall,2.0,1
tt0090305,nm0593819,Ilan Mitchell-Smith,2.0,2
tt0090305,nm0001456,Kelly LeBrock,1.0,3
tt0090305,nm0000200,Bill Paxton,2.0,4
tt0090305,nm0811562,Suzanne Snyder,1.0,5
tt0090305,nm0036978,Judie Aronson,1.0,6
tt0090305,nm0000375,Robert Downey Jr.,2.0,7
tt0090305,nm0750852,Robert Rusler,2.0,8
tt0090305,nm0920460,Vernon Wells,2.0,9
tt0090305,nm0494815,Britt Leach,2.0,10
tt0090756,nm0000618,Isabella Rossellini,1.0,1
tt0090756,nm0001492,Kyle MacLachlan,2.0,2
tt0090756,nm0000454,Dennis Hopper,2.0,3
tt0090756,nm0000368,Laura Dern,1.0,4
tt0090756,nm0486136,Hope Lange,1.0,5
tt0090756,nm0001777,Dean Stockwell,2.0,6
tt0090756,nm0225419,George Dickerson,2.0,7
tt0090756,nm0688467,Priscilla Pointer,1.0,8
tt0090756,nm0062844,Frances Bay,1.0,9
tt0090756,nm0367558,Jack Harvey,2.0,10
tt0090768,nm0212635,Lucy Deakins,1.0,1
tt0090768,nm0001809,Jay Underwood,2.0,2
tt0090768,nm0000889,Bonnie Bedelia,1.0,3
tt0090768,nm0000625,Fred Savage,2.0,4
tt0090768,nm0223157,Colleen Dewhurst,1.0,5
tt0090768,nm0001304,Fred Gwynne,2.0,6
tt0090768,nm0169934,Mindy Cohn,1.0,7
tt0090768,nm0533672,Janet MacLachlan,1.0,8
tt0090768,nm0584694,Jennifer Michas,1.0,9
tt0090768,nm0054203,Michelle Bardeaux,1.0,10
tt0090859,nm0000230,Sylvester Stallone,2.0,1
tt0090859,nm0000557,Brigitte Nielsen,1.0,2
tt0090859,nm0763858,Reni Santoni,2.0,3
tt0090859,nm0732367,Andrew Robinson,2.0,4
tt0090859,nm0859921,Brian Thompson,2.0,5
tt0090859,nm0381273,John Herzfeld,2.0,6
tt0090859,nm0307600,Lee Garlington,1.0,7
tt0090859,nm0480869,Art LaFleur,2.0,8
tt0090859,nm0735424,Marco Rodríguez,2.0,9
tt0090859,nm0820796,Ross St. Phillip,0.0,10
tt0091042,nm0000111,Matthew Broderick,2.0,1
tt0091042,nm0001688,Alan Ruck,2.0,2
tt0091042,nm0000214,Mia Sara,1.0,3
tt0091042,nm0000470,Jeffrey Jones,2.0,4
tt0091042,nm0000426,Jennifer Grey,1.0,5
tt0091042,nm0681882,Cindy Pickett,1.0,6
tt0091042,nm0911700,Lyman Ward,2.0,7
tt0091042,nm0566052,Edie McClurg,1.0,8
tt0091042,nm0000221,Charlie Sheen,2.0,9
tt0091042,nm0825401,Ben Stein,2.0,10
tt0091069,nm0307588,Sean Garlick,0.0,1
tt0091069,nm0001829,Rachel Ward,1.0,2
tt0091069,nm3591643,Elaine Cusick,1.0,3
tt0091069,nm0602904,Laurie Moran,0.0,4
tt0091069,nm0336802,Marc Aden Gray,2.0,5
tt0091069,nm0160947,Ray Chubb,0.0,6
tt0091069,nm0576025,Bradley Meehan,0.0,7
tt0091069,nm0726630,Rebecca Rigg,1.0,8
tt0091069,nm0117979,Beth Buchanan,1.0,9
tt0091069,nm0444291,Asher Keddie,1.0,10
tt0091188,nm0000658,Meryl Streep,1.0,1
tt0091188,nm0000197,Jack Nicholson,2.0,2
tt0091188,nm0001099,Jeff Daniels,2.0,3
tt0091188,nm0822972,Maureen Stapleton,1.0,4
tt0091188,nm0000330,Stockard Channing,1.0,5
tt0091188,nm0557956,Richard Masur,2.0,6
tt0091188,nm0001573,Catherine O'Hara,1.0,7
tt0091188,nm0384696,Steven Hill,2.0,8
tt0091188,nm0001232,Milos Forman,,9
tt0091188,nm0336701,Mamie Gummer,1.0,10
tt0091203,nm0000483,Christopher Lambert,2.0,1
tt0091203,nm0000125,Sean Connery,2.0,2
tt0091203,nm0000317,Clancy Brown,2.0,3
tt0091203,nm0366509,Roxanne Hart,1.0,4
tt0091203,nm0249622,Beatie Edney,1.0,5
tt0091203,nm0635978,Alan North,2.0,6
tt0091203,nm0321096,Sheila Gish,1.0,7
tt0091203,nm0689237,Jon Polito,2.0,8
tt0091203,nm0702934,Hugh Quarshie,2.0,9
tt0091203,nm0539095,Christopher Malcolm,2.0,10
tt0091209,nm0000442,Rutger Hauer,2.0,1
tt0091209,nm0001367,C. Thomas Howell,2.0,2
tt0091209,nm0000492,Jennifer Jason Leigh,1.0,3
tt0091209,nm0218810,Jeffrey DeMunn,2.0,4
tt0091209,nm0413698,John M. Jackson,2.0,5
tt0091209,nm0124100,Billy Green Bush,2.0,6
tt0091209,nm0857806,Jack Thibeau,2.0,7
tt0091209,nm0001734,Armin Shimerman,2.0,8
tt0091209,nm0204634,Gene Davis,2.0,9
tt0091209,nm0887551,Jon Van Ness,2.0,10
tt0091306,nm0000155,Whoopi Goldberg,1.0,1
tt0091306,nm0004834,Stephen Collins,2.0,2
tt0091306,nm0939795,John Wood,2.0,3
tt0091306,nm0001406,Carol Kane,1.0,4
tt0091306,nm0001633,Annie Potts,1.0,5
tt0091306,nm0324533,Peter Michael Goetz,2.0,6
tt0091306,nm0001975,Roscoe Lee Browne,2.0,7
tt0091306,nm0098597,Sara Botsford,1.0,8
tt0091306,nm0469103,Jeroen Krabbé,2.0,9
tt0091306,nm0749490,Vyto Ruginis,2.0,10
tt0091530,nm0000134,Robert De Niro,2.0,1
tt0091530,nm0000460,Jeremy Irons,2.0,2
tt0091530,nm0564044,Ray McAnally,2.0,3
tt0091530,nm0001644,Aidan Quinn,2.0,4
tt0091530,nm0526724,Cherie Lunghi,1.0,5
tt0091530,nm0681975,Ronald Pickup,2.0,6
tt0091530,nm0522797,Chuck Low,2.0,7
tt0091530,nm0000553,Liam Neeson,2.0,8
tt0091530,nm0610350,Bercelio Moya,0.0,9
tt0091530,nm0411356,Sigifredo Ismare,0.0,10
tt0091544,nm0335367,Donald Grant,2.0,1
tt0091544,nm0239180,Denise DuBarry,1.0,2
tt0091544,nm0015391,Claude Akins,2.0,3
tt0091544,nm0003318,Howard Duff,2.0,4
tt0091544,nm0002099,Henry Gibson,2.0,5
tt0091544,nm0595567,Donald Moffat,2.0,6
tt0091544,nm0233209,Paul Dooley,2.0,7
tt0091544,nm0001017,John Carradine,2.0,8
tt0091544,nm0924964,Jesse White,2.0,9
tt0091544,nm0039149,Frank Ashmore,2.0,10
tt0091630,nm0515128,Jason Lively,2.0,1
tt0091630,nm0040662,Tom Atkins,2.0,2
tt0091630,nm0551185,Steve Marshall,2.0,3
tt0091630,nm0926114,Jill Whitlow,1.0,4
tt0091630,nm0853321,Wally Taylor,2.0,5
tt0091630,nm0813298,Bruce Solomon,2.0,6
tt0091630,nm0689269,Vic Polizos,2.0,7
tt0091630,nm0443478,Allan Kayser,2.0,8
tt0091630,nm0380244,Ken Heron,0.0,9
tt0091630,nm0128273,Alice Cadogan,1.0,10
tt0091763,nm0000221,Charlie Sheen,2.0,1
tt0091763,nm0000297,Tom Berenger,2.0,2
tt0091763,nm0000353,Willem Dafoe,2.0,3
tt0091763,nm0202966,Keith David,2.0,4
tt0091763,nm0001845,Forest Whitaker,2.0,5
tt0091763,nm0005331,Francesco Quinn,2.0,6
tt0091763,nm0001143,Kevin Dillon,2.0,7
tt0091763,nm0001525,John C. McGinley,2.0,8
tt0091763,nm0426047,Reggie Johnson,2.0,9
tt0091763,nm0608601,Mark Moses,2.0,10
tt0091790,nm0000208,Molly Ringwald,1.0,1
tt0091790,nm0001083,Jon Cryer,2.0,2
tt0091790,nm0001765,Harry Dean Stanton,2.0,3
tt0091790,nm0001633,Annie Potts,1.0,4
tt0091790,nm0000652,James Spader,2.0,5
tt0091790,nm0000530,Andrew McCarthy,2.0,6
tt0091790,nm0371579,Jim Haynie,2.0,7
tt0091790,nm0447782,Alexa Kenin,1.0,8
tt0091790,nm0894690,Kate Vernon,1.0,9
tt0091790,nm0001048,Andrew Dice Clay,2.0,10
tt0091828,nm0000216,Arnold Schwarzenegger,2.0,1
tt0091828,nm0000216,Arnold Schwarzenegger,2.0,2
tt0091828,nm0002130,Kathryn Harrold,1.0,3
tt0091828,nm0910737,Sam Wanamaker,2.0,4
tt0091828,nm0791502,Paul Shenar,2.0,5
tt0091828,nm0001108,Robert Davi,2.0,6
tt0091828,nm0491590,Ed Lauter,2.0,7
tt0091828,nm0569000,Darren McGavin,2.0,8
tt0091828,nm0005344,Joe Regalbuto,2.0,9
tt0091828,nm0492584,Mordecai Lawner,2.0,10
tt0091828,nm0384696,Steven Hill,2.0,11
tt0091867,nm0001749,Maggie Smith,1.0,1
tt0091867,nm0000307,Helena Bonham Carter,1.0,2
tt0091867,nm0001186,Denholm Elliott,2.0,3
tt0091867,nm0001696,Julian Sands,2.0,4
tt0091867,nm0001003,Simon Callow,2.0,5
tt0091867,nm0324009,Patrick Godfrey,2.0,6
tt0091867,nm0001132,Judi Dench,1.0,7
tt0091867,nm0236902,Fabia Drake,1.0,8
tt0091867,nm0377131,Joan Henley,1.0,9
tt0091867,nm0907510,Amanda Walker,1.0,10
tt0091949,nm0000639,Ally Sheedy,1.0,1
tt0091949,nm0000430,Steve Guttenberg,2.0,2
tt0091949,nm0001770,Fisher Stevens,2.0,3
tt0091949,nm0671721,Austin Pendleton,2.0,4
tt0091949,nm0047265,G.W. Bailey,2.0,5
tt0091949,nm0573658,Brian McNamara,2.0,6
tt0091949,nm0087456,Tim Blaney,2.0,7
tt0091949,nm0570793,Marvin J. McIntyre,2.0,8
tt0091949,nm0304950,John Garber,2.0,9
tt0091949,nm0763842,Penny Santon,1.0,10
tt0092005,nm0000696,Wil Wheaton,2.0,1
tt0092005,nm0000203,River Phoenix,2.0,2
tt0092005,nm0000397,Corey Feldman,2.0,3
tt0092005,nm0005278,Jerry O'Connell,2.0,4
tt0092005,nm0000662,Kiefer Sutherland,2.0,5
tt0092005,nm0797150,Casey Siemaszko,2.0,6
tt0092005,nm0727037,Gary Riley,2.0,7
tt0092005,nm0339562,Bradley Gregg,2.0,8
tt0092005,nm0646874,Jason Oliver Lipsett,,9
tt0092005,nm0068382,Marshall Bell,2.0,10
tt0092605,nm0000473,Diane Keaton,1.0,1
tt0092605,nm0001731,Sam Shepard,2.0,2
tt0092605,nm0000601,Harold Ramis,2.0,3
tt0092605,nm0448163,Kristina Kennedy,1.0,4
tt0092605,nm0448242,Michelle Kennedy,1.0,5
tt0092605,nm0910737,Sam Wanamaker,2.0,6
tt0092605,nm0000652,James Spader,2.0,7
tt0092605,nm0385757,Pat Hingle,2.0,8
tt0092605,nm0494815,Britt Leach,2.0,9
tt0092605,nm0254045,Linda Ellerbee,,10
tt0092666,nm0000107,Kim Basinger,1.0,1
tt0092666,nm0000246,Bruce Willis,2.0,2
tt0092666,nm0488662,John Larroquette,2.0,3
tt0092666,nm0200122,William Daniels,2.0,4
tt0092666,nm0168642,George Coe,2.0,5
tt0092666,nm0089685,Mark Blum,2.0,6
tt0092666,nm0367005,Phil Hartman,2.0,7
tt0092666,nm0266995,Stephanie Faracy,1.0,8
tt0092666,nm0386676,Alice Hirson,1.0,9
tt0092666,nm0823174,Graham Stark,2.0,10
tt0092675,nm0000241,Jean-Claude Van Damme,2.0,1
tt0092675,nm0316455,Donald Gibb,2.0,2
tt0092675,nm0043994,Leah Ayres,1.0,3
tt0092675,nm0123680,Norman Burton,2.0,4
tt0092675,nm0001845,Forest Whitaker,2.0,5
tt0092675,nm0152054,Roy Chiao,2.0,6
tt0092675,nm0318722,Rani Gill,,7
tt0092675,nm0151068,Philip Chan,2.0,8
tt0092675,nm0706338,Pierre Rafini,0.0,9
tt0092675,nm0001866,Bolo Yeung,,10
tt0092710,nm0000155,Whoopi Goldberg,1.0,1
tt0092710,nm0001281,Bobcat Goldthwait,2.0,2
tt0092710,nm0047265,G.W. Bailey,2.0,3
tt0092710,nm0000690,Lesley Ann Warren,1.0,4
tt0092710,nm0359695,James Handy,2.0,5
tt0092710,nm0211408,Anne DeSalvo,1.0,6
tt0092710,nm0000422,John Goodman,2.0,7
tt0092710,nm0750598,Elizabeth Ruscio,1.0,8
tt0092710,nm0749490,Vyto Ruginis,2.0,9
tt0092710,nm0591778,Larry Mintz,2.0,10
tt0092718,nm0001131,Patrick Dempsey,2.0,1
tt0092718,nm0000584,Amanda Peterson,1.0,2
tt0092718,nm0301381,Courtney Gains,2.0,3
tt0092718,nm0143836,Tina Caspary,1.0,4
tt0092718,nm0001293,Seth Green,2.0,5
tt0092718,nm0268331,Sharon Farrell,1.0,6
tt0092718,nm0218674,Darcy DeMoss,1.0,7
tt0092718,nm0240797,Dennis Dugan,2.0,8
tt0092718,nm0607474,Cloyce Morrow,0.0,9
tt0092718,nm0222233,Devin DeVasquez,1.0,10
tt0092906,nm0930787,Ian Patrick Williams,2.0,1
tt0092906,nm0330069,Carolyn Purdy-Gordon,1.0,2
tt0092906,nm0521106,Carrie Lorraine,1.0,3
tt0092906,nm0738212,Guy Rolfe,2.0,4
tt0092906,nm0556739,Hilary Mason,1.0,5
tt0092906,nm0047170,Bunty Bailey,1.0,6
tt0092906,nm0835662,Cassie Stuart,1.0,7
tt0092906,nm0498280,Stephen Lee,2.0,8
tt0093177,nm0732367,Andrew Robinson,2.0,1
tt0093177,nm0383354,Clare Higgins,1.0,2
tt0093177,nm0491090,Ashley Laurence,1.0,3
tt0093177,nm0152521,Sean Chapman,2.0,4
tt0093177,nm0809483,Oliver Smith,2.0,5
tt0093177,nm0385707,Robert Hines,2.0,6
tt0093177,nm0020269,Anthony Allen,2.0,7
tt0093177,nm3788744,Leon Davis,2.0,8
tt0093177,nm0144224,Michael Cassidy,2.0,9
tt0093177,nm0048450,Frank Baker,2.0,10
tt0093191,nm0004486,Bruno Ganz,2.0,1
tt0093191,nm0231652,Solveig Dommartin,1.0,2
tt0093191,nm0761420,Otto Sander,2.0,3
tt0093191,nm0092290,Curt Bois,2.0,4
tt0093191,nm0000393,Peter Falk,2.0,5
tt0093191,nm0830105,Hans-Martin Stier,,6
tt0093191,nm0932874,Elmar Wilms,2.0,7
tt0093191,nm0705129,Sigurd Rachman,2.0,8
tt0093191,nm0543659,Beatrice Manowski,1.0,9
tt0093191,nm0468490,Lajos Kovács,,10
tt0093437,nm0000574,Jason Patric,2.0,1
tt0093437,nm0000433,Corey Haim,2.0,2
tt0093437,nm0001848,Dianne Wiest,1.0,3
tt0093437,nm0400464,Barnard Hughes,2.0,4
tt0093437,nm0001346,Edward Herrmann,2.0,5
tt0093437,nm0000662,Kiefer Sutherland,2.0,6
tt0093437,nm0000415,Jami Gertz,1.0,7
tt0093437,nm0000397,Corey Feldman,2.0,8
tt0093437,nm0627961,Jamison Newlander,2.0,9
tt0093437,nm0565029,Brooke McCarter,2.0,10
tt0093565,nm0000333,Cher,1.0,1
tt0093565,nm0000115,Nicolas Cage,2.0,2
tt0093565,nm0001156,Olympia Dukakis,1.0,3
tt0093565,nm0000732,Danny Aiello,2.0,4
tt0093565,nm0306696,Vincent Gardenia,2.0,5
tt0093565,nm0100566,Julie Bovasso,1.0,6
tt0093565,nm0001498,John Mahoney,2.0,7
tt0093565,nm0348927,Louis Guss,2.0,8
tt0093565,nm0149923,Feodor Chaliapin Jr.,2.0,9
tt0093565,nm0319036,Anita Gillette,1.0,10
tt0093649,nm0001809,Jay Underwood,2.0,1
tt0093649,nm0005484,Alan Thicke,2.0,2
tt0093649,nm0001477,Robyn Lively,1.0,3
tt0093649,nm0004767,Joseph Bologna,2.0,4
tt0093649,nm0363948,Robert Harper,2.0,5
tt0093649,nm0170465,Brian Cole,,6
tt0093649,nm0234969,Brandon Douglas,2.0,7
tt0093649,nm0370768,Lili Haydn,1.0,8
tt0093649,nm0593711,Sasha Mitchell,2.0,9
tt0093649,nm0597482,Greg Monaghan,,10
tt0093677,nm0551290,Cristina Marsillach,1.0,1
tt0093677,nm0153182,Ian Charleson,2.0,2
tt0093677,nm0053519,Urbano Barberini,2.0,3
tt0093677,nm0630453,Daria Nicolodi,1.0,4
tt0093677,nm0851016,Coralina Cataldi-Tassoni,1.0,5
tt0093677,nm0899856,Antonella Vitale,1.0,6
tt0093677,nm0001530,William McNamara,2.0,7
tt0093677,nm0192556,Barbara Cupisti,1.0,8
tt0093677,nm0411899,Antonino Iuorio,2.0,9
tt0093677,nm0821409,Carola Stagnaro,1.0,10
tt0093773,nm0000216,Arnold Schwarzenegger,2.0,1
tt0093773,nm0001835,Carl Weathers,2.0,2
tt0093773,nm0001310,Kevin Peter Hall,2.0,3
tt0093773,nm0001310,Kevin Peter Hall,2.0,4
tt0093773,nm0001990,Elpidia Carrillo,1.0,5
tt0093773,nm0004886,Bill Duke,2.0,6
tt0093773,nm0001818,Jesse Ventura,2.0,7
tt0093773,nm0484739,Sonny Landham,2.0,8
tt0093773,nm0154520,Richard Chaves,2.0,9
tt0093773,nm0035866,R.G. Armstrong,2.0,10
tt0093773,nm0000948,Shane Black,2.0,11
tt0093779,nm0000144,Cary Elwes,2.0,1
tt0093779,nm0001597,Mandy Patinkin,2.0,2
tt0093779,nm0000705,Robin Wright,1.0,3
tt0093779,nm0001697,Chris Sarandon,2.0,4
tt0093779,nm0001302,Christopher Guest,2.0,5
tt0093779,nm0001728,Wallace Shawn,2.0,6
tt0093779,nm0000764,André René Roussimoff,,7
tt0093779,nm0000625,Fred Savage,2.0,8
tt0093779,nm0000393,Peter Falk,2.0,9
tt0093779,nm0177228,Peter Cook,2.0,10
tt0093870,nm0000693,Peter Weller,2.0,1
tt0093870,nm0000693,Peter Weller,2.0,2
tt0093870,nm0000262,Nancy Allen,1.0,3
tt0093870,nm0641397,Dan O'Herlihy,2.0,4
tt0093870,nm0001074,Ronny Cox,2.0,5
tt0093870,nm0001748,Kurtwood Smith,2.0,6
tt0093870,nm0001208,Miguel Ferrer,2.0,7
tt0093870,nm0233306,Robert DoQui,2.0,8
tt0093870,nm0936403,Ray Wise,2.0,9
tt0093870,nm0675066,Felton Perry,2.0,10
tt0093870,nm0005204,Paul McCrane,2.0,11
tt0093894,nm0000216,Arnold Schwarzenegger,2.0,1
tt0093894,nm0000744,Maria Conchita Alonso,,2
tt0093894,nm0001433,Yaphet Kotto,2.0,3
tt0093894,nm0000987,Jim Brown,2.0,4
tt0093894,nm0001818,Jesse Ventura,2.0,5
tt0093894,nm0887419,Erland van Lidth,2.0,6
tt0093894,nm0570793,Marvin J. McIntyre,2.0,7
tt0093894,nm0720523,Gus Rethwisch,2.0,8
tt0093894,nm0849048,Professor Toru Tanaka,2.0,9
tt0093894,nm0281450,Mick Fleetwood,2.0,10
tt0094006,nm0000655,Eric Stoltz,2.0,1
tt0094006,nm0000524,Mary Stuart Masterson,1.0,2
tt0094006,nm0000670,Lea Thompson,1.0,3
tt0094006,nm0001729,Craig Sheffer,2.0,4
tt0094006,nm0039226,John Ashton,2.0,5
tt0094006,nm0000480,Elias Koteas,2.0,6
tt0094006,nm0353243,Molly Hagan,1.0,7
tt0094006,nm0180025,Maddie Corman,1.0,8
tt0094006,nm0254243,Jane Elliot,1.0,9
tt0094006,nm0121026,Candace Cameron Bure,1.0,10
tt0094137,nm0000633,Tom Selleck,2.0,1
tt0094137,nm0000430,Steve Guttenberg,2.0,2
tt0094137,nm0001101,Ted Danson,2.0,3
tt0094137,nm0001802,Nancy Travis,1.0,4
tt0094137,nm0171513,Margaret Colin,1.0,5
tt0094137,nm0024920,Alexandra Amini,1.0,6
tt0094137,nm0066537,Francine Beers,1.0,7
tt0094137,nm0086297,Lisa Blair,1.0,8
tt0094137,nm0086310,Michelle Blair,0.0,9
tt0094137,nm0097842,Philip Bosco,2.0,10
tt0094293,nm0000442,Rutger Hauer,2.0,1
tt0094293,nm0005430,Gene Simmons,2.0,2
tt0094293,nm0347039,Robert Guillaume,2.0,3
tt0094293,nm0004995,Mel Harris,1.0,4
tt0094293,nm0750916,William Russ,2.0,5
tt0094293,nm0531949,Susan MacDonald,0.0,6
tt0094293,nm0362222,Jerry Hardin,2.0,7
tt0094293,nm0318761,Hugh Gillin,2.0,8
tt0094293,nm0363948,Robert Harper,2.0,9
tt0094293,nm0200294,Eli Danker,2.0,10
tt0094625,nm0412628,Mitsuo Iwata,2.0,1
tt0094625,nm0765815,Nozomu Sasaki,2.0,2
tt0094625,nm0468708,Mami Koyama,1.0,3
tt0094625,nm0312656,Tesshô Genda,,4
tt0094625,nm0960022,Hiroshi Ôtake,,5
tt0094625,nm0457561,Kôichi Kitamura,,6
tt0094625,nm0457561,Kôichi Kitamura,,7
