decade,count,your_rating,imdb_rating,runtime_mins
1910.0,57,,6.107317073170732,60.15555555555556
1920.0,90,,6.550588235294117,78.47126436781609
1930.0,300,10.0,6.537710437710438,83.73063973063974
1940.0,125,10.0,6.875806451612903,92.49193548387096
1950.0,160,10.0,6.463924050632911,95.89240506329114
1960.0,244,,6.356962025316455,93.44957983193277
1970.0,430,10.0,6.092822966507177,96.67375886524823
1980.0,464,,6.0369803063457335,98.43107221006565
1990.0,532,10.0,6.178707224334601,102.52952380952381
2000.0,687,1.0,6.287865497076023,103.16058394160584
2010.0,586,5.5,6.135640138408305,100.9724612736661
2020.0,223,,5.936986301369863,103.4703196347032
