genre,count,your_rating,imdb_rating,runtime_mins
Drama,1935,8.2,6.5198947368421045,100.92311715481172
Comedy,1551,8.714285714285714,6.251652624756966,95.98318240620958
Romance,1247,8.2,6.389694041867955,98.34538152610442
Thriller,946,1.0,6.170063694267515,101.5864262990456
Horror,787,,5.775476493011436,92.48157560355781
Crime,605,,6.327197346600332,100.30794701986756
Action,582,1.0,6.056379310344827,103.87586206896552
Mystery,510,,6.232416502946955,99.32023575638507
Sci-Fi,320,,5.96375,97.15408805031447
Fantasy,308,,6.105211726384365,99.20915032679738
Adventure,285,1.0,6.152982456140351,103.43661971830986
Family,190,,6.014285714285714,96.76063829787235
Music,71,1.0,6.397183098591549,99.7605633802817
Musical,70,,6.3757142857142854,98.55072463768116
War,57,,6.928070175438596,111.64912280701755
Biography,48,,6.974468085106383,118.0625
History,43,,6.788095238095239,117.51162790697674
Documentary,38,,7.25,95.70967741935483
Noir,36,,7.202777777777778,94.41666666666667
Sport,35,,6.388235294117647,100.61764705882354
Western,34,,6.520588235294118,101.79411764705883
Adult,16,,5.275,79.26666666666667
Animation,13,,7.123076923076923,87.3076923076923
Short,3,,6.633333333333333,23.0
[],3,,7.266666666666667,23.666666666666668
